"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 28 20:13:47 UTC 2025","Sun Dec 28 20:13:57 UTC 2025","9892","tests.ui.qube.elire","test_elire_explore_amenities","","","","test_elire_explore_amenities[chromium-map]","Тест Explore Amenities для проекта Elire на всех роутах."
"passed","Sun Dec 28 20:47:10 UTC 2025","Sun Dec 28 20:47:15 UTC 2025","4508","tests.ui.mobile.lsr.mark","test_mark_mobile_360_area_tour","","","","test_mark_mobile_360_area_tour[chromium-lobby-k2]","Тест 360 Area Tour для MARK на мобильном устройстве с разными типами панорам."
"passed","Sun Dec 28 20:30:57 UTC 2025","Sun Dec 28 20:31:21 UTC 2025","23745","tests.ui.mobile.qube.arisha","test_arisha_mobile_building_navigation","TestArishaMobileBuildingNavigation","","","test_arisha_mobile_building_floor_apartment_navigation[chromium-map]","Тест полной навигации по зданию, этажу и квартире на мобильном устройстве на всех роутах."
"skipped","Sun Dec 28 20:43:46 UTC 2025","Sun Dec 28 20:43:46 UTC 2025","0","tests.ui.mobile.wellcube.tranquil","test_tranquil_mobile_download_pdf","","","","test_tranquil_mobile_download_ownership_offer[chromium]","Тест скачивания PDF на проекте Tranquil на мобильном устройстве."
"passed","Sun Dec 28 20:11:53 UTC 2025","Sun Dec 28 20:11:57 UTC 2025","4132","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_project_navigation_on_map[firefox-elire]","Тест навигации по проектам."
"passed","Sun Dec 28 20:18:45 UTC 2025","Sun Dec 28 20:19:08 UTC 2025","22465","tests.ui.qube.arisha","test_arisha_apartment_widget","","","","test_arisha_apartment_information[firefox-client]","Тест проверки информации об апартаменте Arisha на всех роутах."
"passed","Sun Dec 28 20:10:36 UTC 2025","Sun Dec 28 20:10:46 UTC 2025","9814","tests.ui.qube.elire","test_elire_explore_amenities","","","","test_elire_explore_amenities[webkit-map]","Тест Explore Amenities для проекта Elire на всех роутах."
"skipped","Sun Dec 28 20:09:20 UTC 2025","Sun Dec 28 20:09:20 UTC 2025","0","tests.ui.qube.arisha","test_arisha_client_route","","","","test_arisha_send_callback_form_on_client_page[webkit]","Тест отправки формы обратной связи на клиентской странице проекта Arisha."
"passed","Sun Dec 28 20:11:59 UTC 2025","Sun Dec 28 20:12:24 UTC 2025","25027","tests.ui.lsr.mark","test_mark_apartment_widget","","","","test_mark_apartment_widget_full_functionality[webkit]","Тест полного функционала виджета апартамента MARK."
"passed","Sun Dec 28 20:20:35 UTC 2025","Sun Dec 28 20:20:39 UTC 2025","3990","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_project_navigation_on_map[chromium-arisha]","Тест навигации по проектам."
"passed","Sun Dec 28 20:32:00 UTC 2025","Sun Dec 28 20:32:11 UTC 2025","11563","tests.ui.mobile.qube.elire","test_elire_mobile_building_floor_apartment_navigation","","","","test_elire_mobile_building_floor_apartment_navigation[chromium-map]","Тест навигации по зданиям, этажам и апартаментам проекта Elire на мобильном устройстве на всех роутах."
"passed","Sun Dec 28 20:19:08 UTC 2025","Sun Dec 28 20:19:44 UTC 2025","35784","tests.ui.qube.arisha","test_arisha_building_floor_apartment_navigation","","","","test_arisha_building_floor_apartment_navigation[firefox-client]","Тест навигации по зданиям, этажам и апартаментам проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:18:00 UTC 2025","Sun Dec 28 20:18:05 UTC 2025","4696","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_project_navigation_on_map[webkit-arisha]","Тест навигации по проектам."
"skipped","Sun Dec 28 20:11:42 UTC 2025","Sun Dec 28 20:11:42 UTC 2025","0","tests.ui.wellcube.tranquil","test_tranquil_explore_amenities","","","","test_tranquil_explore_amenities[webkit]","Тест Explore Amenities для проекта Tranquil."
"passed","Sun Dec 28 20:42:50 UTC 2025","Sun Dec 28 20:42:58 UTC 2025","7872","tests.ui.mobile.qube.cubix","test_cubix_mobile_explore_amenities","","","","test_cubix_mobile_explore_amenities[chromium-map]","Тест Explore Amenities для проекта Cubix на мобильном устройстве на всех роутах."
"passed","Sun Dec 28 20:16:43 UTC 2025","Sun Dec 28 20:17:04 UTC 2025","20545","tests.ui.vibe.arsenal","test_arsenal_explore_amenities","","","","test_arsenal_explore_amenities[chromium]","Тест Explore Amenities для проекта Arsenal (без routes, только map)."
"passed","Sun Dec 28 20:14:51 UTC 2025","Sun Dec 28 20:15:01 UTC 2025","9804","tests.ui.capstone.peylaa","test_peylaa_360_area_tour","","","","test_peylaa_360_area_tour[chromium]","Тест 360 Area Tour для проекта Peylaa."
"passed","Sun Dec 28 20:25:46 UTC 2025","Sun Dec 28 20:25:58 UTC 2025","11551","tests.ui.mobile.abra.willows_residences","test_willows_residences_mobile_view_brochures","","","","test_willows_residences_mobile_view_brochures[chromium]","Тест View Brochures для проекта Willows Residences на мобильном устройстве - проверка открытия Google таблицы."
"passed","Sun Dec 28 20:29:29 UTC 2025","Sun Dec 28 20:29:45 UTC 2025","15888","tests.ui.mobile.msg.edgewater","test_edgewater_mobile_payment_plan","","","","test_edgewater_mobile_payment_plan[chromium]","Тест Payment Plan для проекта Edgewater на мобильном устройстве."
"passed","Sun Dec 28 20:45:41 UTC 2025","Sun Dec 28 20:45:50 UTC 2025","9866","tests.ui.mobile.qube.cubix","test_cubix_mobile_explore_amenities","","","","test_cubix_mobile_explore_amenities[chromium-agent]","Тест Explore Amenities для проекта Cubix на мобильном устройстве на всех роутах."
"passed","Sun Dec 28 20:38:47 UTC 2025","Sun Dec 28 20:39:17 UTC 2025","29657","tests.ui.mobile.lsr.mark","test_mark_mobile_building_floor_apartment_navigation","","","","test_mark_mobile_building_floor_apartment_navigation[chromium]","Тест навигации по зданиям, этажам и апартаментам проекта MARK на мобильном устройстве."
"skipped","Sun Dec 28 20:46:02 UTC 2025","Sun Dec 28 20:46:02 UTC 2025","0","tests.ui.mobile.qube.elire","test_elire_mobile_explore_amenities","","","","test_elire_mobile_explore_amenities[chromium-agent]","Тест Explore Amenities для проекта Elire на всех роутах."
"passed","Sun Dec 28 20:47:15 UTC 2025","Sun Dec 28 20:47:19 UTC 2025","4428","tests.ui.mobile.lsr.mark","test_mark_mobile_360_area_tour","","","","test_mark_mobile_360_area_tour[chromium-lobby-k3]","Тест 360 Area Tour для MARK на мобильном устройстве с разными типами панорам."
"passed","Sun Dec 28 20:13:38 UTC 2025","Sun Dec 28 20:13:50 UTC 2025","12408","tests.ui.vibe.arsenal","test_arsenal_catalog_navigation","","","","test_arsenal_catalog_navigation[firefox]","Тест перехода в каталог квартир для проекта Arsenal."
"passed","Sun Dec 28 20:24:16 UTC 2025","Sun Dec 28 20:24:28 UTC 2025","11511","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_full_navigation_cycle_on_map[chromium-cubix]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Sun Dec 28 20:10:34 UTC 2025","Sun Dec 28 20:10:47 UTC 2025","12807","tests.ui.qube.cubix","test_cubix_explore_amenities","","","","test_cubix_explore_amenities[firefox-map]","Тест Explore Amenities для проекта Cubix на всех роутах."
"passed","Sun Dec 28 20:46:02 UTC 2025","Sun Dec 28 20:46:07 UTC 2025","4368","tests.ui.mobile.lsr.mark","test_mark_mobile_360_area_tour","","","","test_mark_mobile_360_area_tour[chromium-lobby-k1]","Тест 360 Area Tour для MARK на мобильном устройстве с разными типами панорам."
"passed","Sun Dec 28 20:20:52 UTC 2025","Sun Dec 28 20:20:56 UTC 2025","4583","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_project_navigation_on_map[firefox-cubix]","Тест навигации по проектам."
"passed","Sun Dec 28 20:17:04 UTC 2025","Sun Dec 28 20:17:13 UTC 2025","9434","tests.ui.qube.arisha","test_arisha_360_area_tour","","","","test_arisha_360_area_tour[chromium-agent]","Тест 360 Area Tour для проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:36:45 UTC 2025","Sun Dec 28 20:36:56 UTC 2025","11344","tests.ui.mobile.abra.willows_residences","test_willows_residences_mobile_view_brochures","","","","test_willows_residences_mobile_view_brochures[chromium]","Тест View Brochures для проекта Willows Residences на мобильном устройстве - проверка открытия Google таблицы."
"passed","Sun Dec 28 20:18:51 UTC 2025","Sun Dec 28 20:19:22 UTC 2025","30840","tests.ui.qube.arisha","test_arisha_explore_amenities","","","","test_arisha_explore_amenities[chromium-agent]","Тест Explore Amenities для проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:12:21 UTC 2025","Sun Dec 28 20:12:45 UTC 2025","23560","tests.ui.qube.arisha","test_arisha_building_floor_apartment_navigation","","","","test_arisha_building_floor_apartment_navigation[chromium-map]","Тест навигации по зданиям, этажам и апартаментам проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:21:55 UTC 2025","Sun Dec 28 20:22:13 UTC 2025","18183","tests.ui.qube","test_qube_map_projects","TestQubeMapProjects","","","test_full_navigation_cycle_on_map[webkit-cubix]","Тест полного цикла навигации: карта -> проект -> карта."
"passed","Sun Dec 28 20:28:24 UTC 2025","Sun Dec 28 20:29:03 UTC 2025","39493","tests.ui.mobile.lsr.mark","test_mark_mobile_download_pdf","","","","test_mark_mobile_download_pdf[chromium]","Тест скачивания PDF для проекта MARK на мобильном устройстве."
"passed","Sun Dec 28 20:46:58 UTC 2025","Sun Dec 28 20:47:10 UTC 2025","11776","tests.ui.mobile.qube.elire","test_elire_mobile_building_floor_apartment_navigation","","","","test_elire_mobile_building_floor_apartment_navigation[chromium-client]","Тест навигации по зданиям, этажам и апартаментам проекта Elire на мобильном устройстве на всех роутах."
"passed","Sun Dec 28 20:13:44 UTC 2025","Sun Dec 28 20:13:55 UTC 2025","11347","tests.ui.qube.arisha","test_arisha_360_area_tour","","","","test_arisha_360_area_tour[webkit-agent]","Тест 360 Area Tour для проекта Arisha на всех роутах."
"passed","Sun Dec 28 20:17:16 UTC 2025","Sun Dec 28 20:17:36 UTC 2025","20089","tests.ui.qube.elire","test_elire_building_floor_apartment_navigation","","","","test_elire_building_floor_apartment_navigation[firefox-agent]","Тест навигации по зданиям, этажам и апартаментам проекта Elire на всех роутах."
"passed","Sun Dec 28 20:43:09 UTC 2025","Sun Dec 28 20:43:18 UTC 2025","8497","tests.ui.mobile.vibe.arsenal","test_arsenal_mobile_catalog_navigation","","","","test_arsenal_mobile_catalog_navigation[chromium]","Тест перехода в каталог квартир Arsenal на мобильном устройстве."
